Sample_01,Sample_02,Sample_03
-0.057373047,-0.03326416,-0.004882813
-0.057983398,-0.034484863,-0.002746582
-0.058288574,-0.033874512,-0.003967285
-0.05859375,-0.035095215,-0.000915527
-0.059204102,-0.034790039,-0.004577637
-0.059204102,-0.035705566,-0.00579834
-0.059204102,-0.036621094,-0.00579834
-0.058898926,-0.036621094,-0.008239746
-0.057373047,-0.034790039,-0.00579834
-0.055847168,-0.035095215,-0.004882813
-0.054626465,-0.03326416,-0.004272461
-0.058288574,-0.033569336,-0.003051758
-0.057983398,-0.033874512,-0.003356934
-0.05859375,-0.033874512,-0.003051758
-0.059509277,-0.034790039,-0.003662109
-0.060424805,-0.036621094,-0.005187988
-0.059204102,-0.035400391,-0.005187988
-0.057373047,-0.035705566,-0.005187988
-0.057067871,-0.036010742,-0.007629395
-0.057983398,-0.033569336,-0.004882813
-0.05645752,-0.033874512,-0.004577637
-0.056762695,-0.033569336,-0.002746582
-0.058898926,-0.034484863,-0.00213623
-0.059509277,-0.035095215,-0.003051758
-0.058288574,-0.035400391,-0.005493164
-0.058288574,-0.036621094,-0.00579834
-0.060424805,-0.036010742,-0.006713867
-0.056762695,-0.036010742,-0.005493164
-0.056152344,-0.034790039,-0.007324219
-0.058288574,-0.035095215,-0.004577637
-0.057067871,-0.033569336,-0.004272461
-0.05645752,-0.032958984,-0.003356934
-0.057678223,-0.03326416,-0.003662109
-0.058898926,-0.034790039,-0.001831055
-0.059204102,-0.035705566,-0.004882813
-0.058288574,-0.035095215,-0.00579834
-0.059509277,-0.036621094,-0.00793457
-0.057067871,-0.036315918,-0.006103516
-0.05645752,-0.036010742,-0.006103516
-0.05645752,-0.035705566,-0.005493164
-0.057373047,-0.03326416,-0.003967285
-0.055847168,-0.033874512,-0.003051758
-0.057983398,-0.033874512,-0.000915527
-0.060119629,-0.034179688,-0.002441406
-0.059509277,-0.035705566,-0.005187988
-0.05859375,-0.035400391,-0.006103516
-0.05859375,-0.036010742,-0.007629395
-0.057678223,-0.035705566,-0.005493164
-0.057067871,-0.035400391,-0.00579834
-0.056152344,-0.035705566,-0.003662109
-0.057983398,-0.032653809,-0.004272461
-0.056762695,-0.034179688,-0.005187988
-0.057678223,-0.033569336,-0.000915527
-0.057983398,-0.035095215,-0.00213623
-0.059509277,-0.034790039,-0.004577637
-0.060424805,-0.036315918,-0.00579834
-0.059509277,-0.036315918,-0.006408691
-0.057373047,-0.036621094,-0.006713867
-0.057067871,-0.035705566,-0.00793457
-0.05645752,-0.035095215,-0.006408691
-0.057373047,-0.034179688,-0.003967285
-0.057067871,-0.033569336,-0.003967285
-0.058288574,-0.034179688,-0.00213623
-0.059814453,-0.034484863,-0.002746582
-0.059814453,-0.036315918,-0.004272461
-0.060424805,-0.036010742,-0.00579834
-0.057678223,-0.036621094,-0.006713867
-0.057373047,-0.036621094,-0.005187988
-0.055847168,-0.034790039,-0.005187988
-0.05645752,-0.033874512,-0.006408691
-0.057678223,-0.034179688,-0.004577637
-0.057373047,-0.033569336,-0.002746582
-0.058288574,-0.034179688,-0.001525879
-0.059204102,-0.033874512,-0.003356934
-0.060119629,-0.035400391,-0.005493164
-0.061340332,-0.035095215,-0.007324219
-0.058898926,-0.035705566,-0.005493164
-0.05645752,-0.035400391,-0.004882813
-0.058288574,-0.035400391,-0.00793457
-0.055236816,-0.035400391,-0.005187988
-0.055847168,-0.03326416,-0.005493164
-0.057067871,-0.032958984,-0.003356934
-0.058288574,-0.034179688,-0.001525879
-0.059509277,-0.033874512,-0.003356934
-0.060119629,-0.034484863,-0.003662109
-0.061950684,-0.035705566,-0.00579834
-0.057678223,-0.03692627,-0.006103516
-0.057373047,-0.036315918,-0.006408691
-0.05645752,-0.035095215,-0.007019043
-0.055847168,-0.034179688,-0.005493164
-0.055847168,-0.032653809,-0.003967285
-0.05645752,-0.033569336,-0.003662109
-0.058288574,-0.034484863,-0.002441406
-0.059509277,-0.035400391,-0.004882813
-0.059814453,-0.035095215,-0.004577637
-0.062255859,-0.035095215,-0.00579834
-0.057678223,-0.035705566,-0.006103516
-0.058898926,-0.036010742,-0.004882813
-0.057067871,-0.034790039,-0.008239746
-0.055847168,-0.035705566,-0.006408691
-0.055847168,-0.033569336,-0.004882813
-0.05645752,-0.03326416,-0.004577637
-0.058288574,-0.033569336,-0.002746582
-0.058898926,-0.034484863,-0.003356934
-0.060119629,-0.034790039,-0.00579834
-0.060119629,-0.036010742,-0.006408691
-0.057983398,-0.035705566,-0.007019043
-0.057373047,-0.036315918,-0.006103516
-0.057983398,-0.036010742,-0.009460449
-0.054626465,-0.033874512,-0.003662109
-0.054626465,-0.03326416,-0.004272461
-0.058288574,-0.032653809,-0.003051758
-0.057373047,-0.03326416,-0.003662109
-0.058288574,-0.035095215,-0.002746582
-0.059509277,-0.035705566,-0.006103516
-0.059814453,-0.036010742,-0.005493164
-0.057983398,-0.036010742,-0.00579834
-0.057373047,-0.036010742,-0.007324219
-0.056762695,-0.035400391,-0.008544922
-0.056152344,-0.033874512,-0.004882813
-0.055236816,-0.034179688,-0.004882813
-0.057373047,-0.033874512,-0.003967285
-0.057983398,-0.033874512,-0.00213623
-0.05859375,-0.033874512,-0.004272461
-0.059814453,-0.034790039,-0.004272461
